YearsExperience,Education,JobRole,Location,SkillsScore(1-5),CompanySize,Salary(LPA)
6,Bachelors,BI Analyst,Pune,2,Enterprise,24.28
3,Bachelors,Data Analyst,Delhi,1,Mid,11.36
20,Masters,ML Engineer,Mumbai,4,Startup,78.79
17,PhD,Data Scientist,Hyderabad,2,Mid,57.44
12,Bachelors,Data Scientist,Bangalore,2,Startup,43.29
10,PhD,Data Analyst,Pune,1,Enterprise,36.43
3,Masters,ML Engineer,Hyderabad,2,Mid,27.53
20,Bachelors,Data Scientist,Bangalore,3,Enterprise,73.15
3,PhD,BI Analyst,Bangalore,2,Startup,23.3
9,Masters,ML Engineer,Bangalore,5,Startup,56.26
4,Bachelors,Data Scientist,Hyderabad,3,Enterprise,25.16
8,Masters,ML Engineer,Pune,1,Enterprise,38.52
2,Bachelors,Data Analyst,Pune,3,Startup,20.76
16,Masters,ML Engineer,Bangalore,5,Enterprise,76.43
2,Bachelors,Data Scientist,Hyderabad,5,Startup,25.93
15,Bachelors,Data Analyst,Bangalore,2,Enterprise,47.83
3,PhD,ML Engineer,Delhi,2,Startup,31.6
17,Masters,BI Analyst,Pune,4,Startup,67.53
16,Bachelors,Data Scientist,Mumbai,3,Mid,55.97
6,Bachelors,Data Analyst,Bangalore,4,Startup,37.76
4,PhD,ML Engineer,Delhi,5,Startup,45.52
11,Bachelors,BI Analyst,Pune,2,Mid,38.68
16,Bachelors,Data Scientist,Hyderabad,2,Mid,56.17
12,Bachelors,BI Analyst,Pune,2,Enterprise,38.01
2,Bachelors,ML Engineer,Hyderabad,1,Enterprise,20.52
8,Masters,ML Engineer,Hyderabad,5,Startup,54.7
16,Masters,Data Analyst,Bangalore,2,Enterprise,52.4
16,Bachelors,BI Analyst,Bangalore,5,Enterprise,61.9
19,Masters,Data Analyst,Pune,2,Startup,54.3
15,Bachelors,Data Scientist,Delhi,3,Mid,55.26
12,PhD,Data Analyst,Pune,5,Mid,59.3
18,PhD,Data Scientist,Mumbai,4,Startup,75.12
16,Bachelors,ML Engineer,Hyderabad,1,Startup,53.51
3,PhD,ML Engineer,Hyderabad,4,Startup,43.41
11,Masters,BI Analyst,Bangalore,5,Startup,58.22
8,Bachelors,Data Scientist,Delhi,2,Startup,43.67
18,Bachelors,ML Engineer,Bangalore,5,Startup,76.24
11,Bachelors,BI Analyst,Mumbai,1,Enterprise,31.32
8,Masters,BI Analyst,Pune,5,Enterprise,50.18
6,PhD,Data Analyst,Pune,2,Enterprise,37.22
13,Masters,BI Analyst,Delhi,4,Mid,56.62
19,PhD,ML Engineer,Bangalore,3,Startup,67.73
18,Masters,Data Analyst,Bangalore,4,Startup,68.87
14,Masters,Data Scientist,Mumbai,2,Enterprise,49.71
15,Masters,Data Scientist,Pune,2,Mid,50.03
20,Bachelors,ML Engineer,Bangalore,1,Enterprise,62.06
4,Masters,ML Engineer,Delhi,5,Startup,39.52
2,Masters,Data Analyst,Pune,5,Startup,36.37
11,Bachelors,Data Analyst,Mumbai,4,Enterprise,49.59
19,Masters,ML Engineer,Delhi,3,Enterprise,70.84
20,Bachelors,ML Engineer,Hyderabad,3,Startup,68.85
3,Masters,Data Scientist,Mumbai,1,Enterprise,20.15
20,Masters,Data Scientist,Delhi,2,Startup,62.97
15,Bachelors,Data Scientist,Bangalore,1,Enterprise,46.27
6,Bachelors,ML Engineer,Hyderabad,5,Mid,37.37
12,Bachelors,BI Analyst,Mumbai,2,Startup,41.07
20,PhD,ML Engineer,Bangalore,1,Mid,67.84
9,Bachelors,ML Engineer,Hyderabad,4,Enterprise,51.14
6,PhD,Data Scientist,Pune,5,Mid,49.8
13,Bachelors,ML Engineer,Bangalore,3,Enterprise,56.63
4,PhD,Data Analyst,Delhi,1,Mid,24.74
2,PhD,ML Engineer,Mumbai,5,Mid,45.41
10,Bachelors,ML Engineer,Hyderabad,5,Mid,63.36
10,Masters,ML Engineer,Bangalore,3,Startup,50.76
17,Bachelors,ML Engineer,Pune,3,Mid,63.85
14,Masters,BI Analyst,Mumbai,3,Enterprise,56.66
11,Bachelors,ML Engineer,Mumbai,1,Enterprise,38.5
8,Bachelors,Data Analyst,Bangalore,3,Startup,35.34
9,Bachelors,Data Analyst,Pune,4,Startup,43.86
11,Bachelors,ML Engineer,Hyderabad,5,Enterprise,58.12
16,Bachelors,Data Scientist,Bangalore,3,Mid,58.1
5,Masters,BI Analyst,Hyderabad,5,Enterprise,43.2
6,PhD,ML Engineer,Mumbai,2,Startup,33.31
13,Bachelors,ML Engineer,Hyderabad,2,Startup,55.3
12,Masters,ML Engineer,Pune,3,Enterprise,55.76
7,Bachelors,Data Scientist,Delhi,5,Mid,44.1
9,Masters,Data Scientist,Pune,2,Mid,44.48
8,PhD,Data Scientist,Hyderabad,3,Startup,45.01
17,PhD,BI Analyst,Bangalore,5,Enterprise,72.69
1,PhD,Data Analyst,Mumbai,3,Enterprise,24.26
4,Bachelors,BI Analyst,Delhi,5,Startup,39.5
4,Masters,Data Scientist,Bangalore,2,Enterprise,27.57
5,Masters,Data Analyst,Bangalore,3,Startup,29.82
18,Bachelors,Data Analyst,Pune,2,Mid,58.2
7,PhD,Data Scientist,Hyderabad,3,Mid,45.85
15,Bachelors,Data Scientist,Pune,1,Enterprise,51.32
12,Masters,BI Analyst,Hyderabad,2,Mid,45.7
0,Bachelors,Data Scientist,Pune,2,Mid,18.44
19,Bachelors,Data Analyst,Bangalore,4,Startup,65.82
16,Masters,ML Engineer,Mumbai,2,Startup,62.48
6,Masters,Data Scientist,Hyderabad,5,Enterprise,48.13
12,Bachelors,Data Scientist,Delhi,3,Startup,49.89
3,Bachelors,BI Analyst,Delhi,1,Enterprise,10.03
3,Masters,BI Analyst,Bangalore,5,Enterprise,34.54
5,Bachelors,Data Scientist,Pune,5,Startup,40.36
18,Bachelors,Data Analyst,Pune,5,Mid,70.29
11,PhD,Data Analyst,Bangalore,5,Mid,65.1
6,Masters,ML Engineer,Delhi,1,Mid,33.48
9,Bachelors,Data Scientist,Delhi,4,Mid,43.17
18,Masters,BI Analyst,Pune,2,Enterprise,56.76
6,Masters,Data Analyst,Hyderabad,5,Mid,47.07
2,PhD,ML Engineer,Mumbai,2,Enterprise,27.23
12,Masters,Data Scientist,Hyderabad,2,Startup,49.86
12,Bachelors,Data Analyst,Delhi,5,Startup,54.65
17,Bachelors,Data Scientist,Hyderabad,4,Enterprise,64.3
19,Bachelors,Data Scientist,Mumbai,2,Mid,59.07
7,Masters,Data Analyst,Hyderabad,3,Enterprise,27.16
8,Bachelors,Data Analyst,Hyderabad,2,Mid,32.82
6,Masters,Data Analyst,Hyderabad,5,Mid,39.74
0,Bachelors,Data Scientist,Hyderabad,1,Enterprise,6.24
2,Bachelors,Data Scientist,Bangalore,2,Enterprise,20.54
12,PhD,ML Engineer,Delhi,4,Mid,64.89
16,Bachelors,BI Analyst,Mumbai,3,Enterprise,49.81
0,Bachelors,Data Scientist,Delhi,3,Mid,22.51
5,Masters,BI Analyst,Bangalore,1,Enterprise,19.79
20,Bachelors,Data Analyst,Bangalore,1,Startup,57.45
5,Masters,Data Scientist,Bangalore,2,Mid,31.74
11,Masters,ML Engineer,Bangalore,5,Startup,60.28
12,Bachelors,ML Engineer,Hyderabad,4,Enterprise,55.89
12,Masters,BI Analyst,Delhi,3,Startup,47.11
14,Masters,Data Analyst,Pune,1,Enterprise,44.89
20,Bachelors,BI Analyst,Mumbai,4,Mid,69.76
15,Bachelors,Data Analyst,Bangalore,5,Enterprise,58.73
20,Bachelors,ML Engineer,Delhi,3,Enterprise,66.43
10,PhD,BI Analyst,Bangalore,3,Mid,49.53
4,Bachelors,ML Engineer,Bangalore,5,Enterprise,41.71
3,Masters,ML Engineer,Bangalore,3,Mid,35.31
2,Masters,Data Analyst,Bangalore,5,Enterprise,31.29
18,Masters,BI Analyst,Bangalore,3,Mid,60.23
19,Bachelors,BI Analyst,Mumbai,2,Startup,54.56
17,Bachelors,ML Engineer,Delhi,5,Enterprise,71.76
14,Masters,ML Engineer,Bangalore,4,Enterprise,64.3
8,Bachelors,Data Analyst,Bangalore,2,Enterprise,29.57
16,Bachelors,Data Scientist,Bangalore,4,Mid,67.09
13,Bachelors,Data Scientist,Bangalore,3,Enterprise,48.77
14,Bachelors,ML Engineer,Hyderabad,4,Mid,61.35
0,PhD,Data Scientist,Hyderabad,2,Enterprise,18.35
20,Bachelors,Data Scientist,Pune,5,Startup,74.48
2,Bachelors,Data Scientist,Bangalore,1,Enterprise,15.04
15,Bachelors,Data Scientist,Pune,4,Startup,57.5
10,Masters,ML Engineer,Mumbai,1,Mid,40.77
11,Masters,Data Scientist,Pune,4,Startup,54.72
9,Bachelors,Data Scientist,Delhi,4,Enterprise,48.88
15,Masters,Data Analyst,Hyderabad,5,Enterprise,61.26
7,Masters,ML Engineer,Hyderabad,3,Mid,42.8
5,PhD,BI Analyst,Bangalore,2,Enterprise,29.81
11,Masters,BI Analyst,Bangalore,2,Enterprise,35.86
20,Bachelors,Data Analyst,Mumbai,2,Mid,56.61
7,Bachelors,Data Analyst,Mumbai,3,Mid,34.72
3,Bachelors,ML Engineer,Delhi,1,Startup,16.64
7,Bachelors,BI Analyst,Bangalore,2,Mid,28.58
17,PhD,Data Scientist,Bangalore,1,Enterprise,50.93
4,Bachelors,Data Analyst,Mumbai,3,Mid,25.79
8,Bachelors,BI Analyst,Mumbai,3,Enterprise,29.54
3,Masters,ML Engineer,Mumbai,5,Startup,39.89
16,Masters,Data Scientist,Hyderabad,2,Mid,55.09
8,Bachelors,ML Engineer,Pune,5,Enterprise,51.07
0,Bachelors,Data Analyst,Pune,2,Mid,11.24
20,Bachelors,BI Analyst,Bangalore,3,Mid,60.79
19,Masters,BI Analyst,Hyderabad,3,Mid,61.45
12,Bachelors,BI Analyst,Mumbai,4,Mid,44.96
15,Bachelors,BI Analyst,Bangalore,4,Startup,57.62
12,Masters,Data Scientist,Hyderabad,3,Enterprise,51.79
13,Bachelors,Data Scientist,Delhi,3,Mid,52.71
2,Masters,ML Engineer,Hyderabad,1,Enterprise,19.8
5,Bachelors,Data Scientist,Bangalore,1,Startup,17.3
17,Bachelors,Data Analyst,Pune,5,Enterprise,65.35
18,PhD,Data Analyst,Mumbai,4,Enterprise,70.23
4,Masters,BI Analyst,Delhi,4,Startup,30.11
14,Bachelors,Data Analyst,Hyderabad,3,Mid,46.89
1,Masters,ML Engineer,Bangalore,3,Enterprise,29.25
9,Masters,Data Scientist,Bangalore,5,Enterprise,53.4
17,Masters,Data Scientist,Mumbai,4,Mid,71.2
12,Bachelors,Data Scientist,Bangalore,1,Mid,44.47
4,PhD,Data Analyst,Bangalore,2,Enterprise,23.09
0,Bachelors,Data Scientist,Mumbai,5,Startup,27.24
0,Bachelors,BI Analyst,Delhi,2,Mid,12.37
17,Bachelors,BI Analyst,Pune,1,Mid,49.39
14,Bachelors,BI Analyst,Pune,1,Startup,44.15
16,Masters,Data Analyst,Hyderabad,2,Enterprise,55.59
10,Bachelors,Data Scientist,Delhi,5,Mid,55.92
20,Bachelors,Data Analyst,Hyderabad,2,Enterprise,60.18
16,PhD,Data Scientist,Pune,5,Enterprise,71.01
12,Bachelors,ML Engineer,Mumbai,5,Enterprise,66.15
0,Bachelors,ML Engineer,Bangalore,3,Startup,22.96
1,Bachelors,Data Analyst,Pune,4,Enterprise,22.67
8,Bachelors,BI Analyst,Delhi,4,Enterprise,36.98
2,Bachelors,Data Analyst,Pune,1,Mid,12.78
0,Masters,BI Analyst,Delhi,3,Mid,22.51
20,Bachelors,Data Scientist,Delhi,4,Startup,70.5
15,Bachelors,BI Analyst,Delhi,5,Startup,61.1
5,Masters,BI Analyst,Hyderabad,5,Mid,41.25
16,Masters,Data Scientist,Mumbai,2,Mid,57.82
4,Bachelors,ML Engineer,Pune,2,Startup,26.82
4,Masters,Data Scientist,Mumbai,5,Enterprise,39.92
5,Bachelors,Data Analyst,Bangalore,5,Startup,35.97
2,Bachelors,Data Analyst,Pune,2,Enterprise,13.48
20,Masters,Data Analyst,Mumbai,4,Mid,69.69
4,Bachelors,Data Analyst,Mumbai,1,Mid,14.71
20,PhD,Data Analyst,Bangalore,2,Mid,61.37
4,Bachelors,ML Engineer,Delhi,4,Enterprise,39.58
9,Masters,ML Engineer,Pune,4,Startup,52.68
9,Bachelors,BI Analyst,Pune,4,Enterprise,43.03
18,Masters,Data Analyst,Bangalore,3,Startup,66.61
16,Masters,Data Scientist,Delhi,3,Startup,63.05
20,Masters,Data Analyst,Pune,4,Startup,69.63
13,Bachelors,ML Engineer,Pune,5,Mid,66.22
8,Masters,Data Analyst,Pune,3,Startup,41.62
13,Masters,ML Engineer,Delhi,2,Mid,48.85
0,Masters,BI Analyst,Bangalore,3,Startup,22.21
18,Masters,BI Analyst,Pune,5,Startup,70.3
12,Masters,BI Analyst,Mumbai,1,Mid,42.29
12,Bachelors,ML Engineer,Delhi,3,Mid,50.29
3,Bachelors,Data Analyst,Hyderabad,4,Enterprise,26.6
0,Bachelors,Data Analyst,Bangalore,4,Startup,19.71
16,Bachelors,Data Scientist,Mumbai,4,Mid,59.48
7,PhD,ML Engineer,Pune,1,Enterprise,31.86
1,Masters,Data Scientist,Hyderabad,5,Enterprise,26.4
7,PhD,BI Analyst,Bangalore,2,Mid,31.64
6,Bachelors,Data Analyst,Delhi,5,Startup,47.79
1,PhD,ML Engineer,Hyderabad,1,Enterprise,23.33
2,Masters,Data Scientist,Hyderabad,4,Startup,37.39
17,Masters,Data Scientist,Mumbai,5,Startup,71.35
11,Masters,Data Scientist,Bangalore,2,Enterprise,43
0,Bachelors,Data Analyst,Mumbai,4,Mid,26.15
11,Masters,Data Analyst,Mumbai,2,Startup,42.53
4,Masters,Data Analyst,Pune,3,Mid,26.23
16,Bachelors,ML Engineer,Delhi,2,Enterprise,58.3
15,Bachelors,Data Analyst,Hyderabad,4,Startup,60.75
14,PhD,ML Engineer,Bangalore,3,Mid,57.82
14,PhD,Data Scientist,Delhi,4,Mid,64.99
4,PhD,Data Scientist,Delhi,4,Startup,35.51
20,Masters,BI Analyst,Bangalore,3,Mid,71.09
13,Bachelors,Data Analyst,Delhi,2,Mid,43.89
1,Bachelors,Data Scientist,Pune,1,Enterprise,14.79
10,Bachelors,Data Analyst,Delhi,1,Enterprise,30.85
18,Bachelors,ML Engineer,Pune,1,Mid,51.36
6,Bachelors,Data Scientist,Hyderabad,1,Mid,23.58
5,Bachelors,Data Analyst,Hyderabad,5,Startup,40.29
1,Bachelors,Data Scientist,Mumbai,1,Enterprise,18.88
5,PhD,Data Scientist,Pune,3,Startup,38.35
17,Bachelors,Data Analyst,Hyderabad,1,Mid,46.24
1,PhD,Data Scientist,Delhi,4,Startup,34.01
17,Masters,Data Scientist,Bangalore,1,Mid,56.82
14,Bachelors,Data Scientist,Bangalore,2,Enterprise,49
18,Bachelors,Data Scientist,Pune,3,Enterprise,62.91
1,Bachelors,ML Engineer,Mumbai,3,Mid,25.54
19,Bachelors,Data Scientist,Delhi,5,Enterprise,74.23
5,Masters,BI Analyst,Pune,4,Mid,36.89
0,Bachelors,Data Scientist,Bangalore,3,Startup,24.98
14,Bachelors,Data Analyst,Pune,2,Mid,39.5
9,Bachelors,BI Analyst,Delhi,1,Startup,28.38
18,PhD,ML Engineer,Hyderabad,3,Mid,68.9
16,Masters,BI Analyst,Delhi,2,Enterprise,56.94
4,Masters,BI Analyst,Hyderabad,1,Mid,19.68
3,Bachelors,BI Analyst,Hyderabad,5,Mid,34.38
9,Masters,Data Analyst,Hyderabad,3,Mid,45.38
16,Masters,Data Analyst,Pune,3,Enterprise,54.66
9,Masters,Data Analyst,Bangalore,2,Mid,35.02
16,PhD,ML Engineer,Pune,4,Enterprise,75.37
19,Bachelors,Data Analyst,Bangalore,5,Mid,67.74
4,PhD,Data Analyst,Delhi,4,Startup,35.12
1,PhD,BI Analyst,Mumbai,3,Mid,20.1
5,Bachelors,Data Analyst,Delhi,4,Startup,37.09
20,Bachelors,Data Scientist,Pune,1,Enterprise,56.76
1,PhD,Data Analyst,Pune,5,Enterprise,34.95
12,Bachelors,ML Engineer,Bangalore,4,Mid,57.83
10,Masters,ML Engineer,Pune,1,Enterprise,38.09
10,PhD,Data Scientist,Hyderabad,2,Mid,39.29
15,Masters,ML Engineer,Pune,4,Enterprise,65.34
10,Bachelors,ML Engineer,Bangalore,5,Startup,54.79
18,Masters,BI Analyst,Bangalore,1,Enterprise,53.52
14,Bachelors,Data Scientist,Hyderabad,4,Startup,57.44
15,Masters,BI Analyst,Bangalore,2,Mid,49.5
10,Bachelors,BI Analyst,Mumbai,4,Mid,43.39
15,Masters,Data Analyst,Delhi,1,Mid,47.39
7,Masters,Data Scientist,Pune,4,Startup,41.33
3,Masters,Data Analyst,Mumbai,5,Mid,35.41
7,Masters,Data Analyst,Pune,3,Mid,34.61
3,Masters,BI Analyst,Mumbai,1,Startup,18.59
2,Masters,ML Engineer,Pune,1,Enterprise,24.63
2,Bachelors,Data Scientist,Hyderabad,1,Mid,18.75
17,Masters,ML Engineer,Bangalore,1,Enterprise,61.17
18,Bachelors,BI Analyst,Bangalore,4,Enterprise,63.2
18,PhD,BI Analyst,Hyderabad,5,Mid,73.95
20,Bachelors,BI Analyst,Mumbai,2,Mid,56.19
4,Bachelors,BI Analyst,Delhi,5,Startup,34.07
17,Masters,BI Analyst,Mumbai,1,Startup,50.38
9,Bachelors,BI Analyst,Bangalore,4,Mid,40.75
20,Bachelors,ML Engineer,Delhi,4,Enterprise,73.13
5,Masters,Data Analyst,Pune,1,Startup,17.41
0,Masters,ML Engineer,Delhi,4,Startup,25.97
4,Masters,Data Scientist,Mumbai,1,Mid,23.23
8,Bachelors,ML Engineer,Hyderabad,5,Mid,50.95
11,Masters,BI Analyst,Pune,3,Mid,47.35
13,Bachelors,ML Engineer,Mumbai,4,Mid,57.42
1,Masters,Data Analyst,Pune,1,Startup,12.93
16,Masters,Data Scientist,Delhi,1,Startup,55.65
13,Masters,ML Engineer,Bangalore,4,Startup,61.04
12,Bachelors,Data Analyst,Mumbai,2,Enterprise,38.9
8,Bachelors,ML Engineer,Hyderabad,1,Startup,29.13
14,Bachelors,Data Scientist,Delhi,4,Startup,59.99
14,Bachelors,ML Engineer,Mumbai,1,Mid,41.99
10,Bachelors,BI Analyst,Hyderabad,2,Startup,33.48
15,Masters,ML Engineer,Mumbai,3,Startup,62.76
16,Bachelors,Data Analyst,Delhi,2,Startup,44.68
3,PhD,ML Engineer,Mumbai,5,Mid,42.86
0,Bachelors,Data Analyst,Pune,4,Startup,21.39
7,Masters,Data Scientist,Delhi,2,Startup,33.65
16,Masters,ML Engineer,Mumbai,3,Enterprise,60.95
2,Bachelors,Data Scientist,Bangalore,1,Enterprise,13.52
19,Bachelors,Data Scientist,Mumbai,4,Enterprise,72.05
14,Masters,ML Engineer,Pune,2,Enterprise,60.09
14,Bachelors,Data Analyst,Hyderabad,3,Mid,50.52
13,PhD,Data Scientist,Hyderabad,2,Enterprise,46.24
13,Masters,Data Scientist,Hyderabad,5,Startup,64.4
1,PhD,ML Engineer,Bangalore,4,Enterprise,34.21
12,Bachelors,ML Engineer,Pune,1,Mid,39.01
13,Masters,ML Engineer,Delhi,3,Enterprise,54.3
18,Masters,ML Engineer,Hyderabad,2,Enterprise,61.93
6,Masters,ML Engineer,Pune,4,Mid,40.17
2,Bachelors,BI Analyst,Mumbai,2,Mid,16.61
14,Masters,ML Engineer,Bangalore,4,Mid,69.08
13,Bachelors,Data Analyst,Pune,5,Mid,53.4
10,Masters,Data Scientist,Pune,2,Mid,47.39
14,Bachelors,Data Analyst,Delhi,5,Mid,59.72
12,PhD,Data Analyst,Pune,3,Startup,51.02
17,Bachelors,BI Analyst,Delhi,5,Enterprise,65.33
5,Masters,ML Engineer,Bangalore,4,Enterprise,39.58
2,PhD,Data Scientist,Bangalore,3,Mid,31.18
18,Masters,Data Analyst,Mumbai,2,Mid,59.77
14,Masters,ML Engineer,Delhi,2,Startup,47.32
4,Bachelors,ML Engineer,Delhi,4,Startup,44.23
9,PhD,BI Analyst,Hyderabad,1,Mid,29.67
6,Bachelors,BI Analyst,Hyderabad,1,Startup,20.33
16,Masters,BI Analyst,Mumbai,2,Startup,45.73
6,Masters,Data Scientist,Bangalore,4,Mid,40.6
11,Masters,Data Analyst,Hyderabad,1,Mid,35.52
16,Bachelors,BI Analyst,Pune,5,Mid,62.36
12,Masters,BI Analyst,Bangalore,2,Mid,44.71
19,Masters,BI Analyst,Pune,5,Enterprise,73.37
3,Bachelors,Data Analyst,Delhi,4,Enterprise,29.82
9,PhD,Data Analyst,Bangalore,5,Mid,49.39
2,Bachelors,BI Analyst,Mumbai,1,Startup,12.53
8,Bachelors,BI Analyst,Delhi,1,Mid,24.8
12,Bachelors,ML Engineer,Delhi,3,Enterprise,50.19
17,Bachelors,BI Analyst,Pune,2,Startup,53.61
14,PhD,Data Scientist,Delhi,4,Enterprise,62.09
3,Bachelors,Data Scientist,Hyderabad,2,Mid,21.88
14,Bachelors,BI Analyst,Bangalore,5,Enterprise,55.64
1,Bachelors,Data Analyst,Hyderabad,4,Enterprise,26.69
14,Masters,ML Engineer,Pune,4,Enterprise,65.79
7,Masters,Data Analyst,Pune,1,Startup,27.6
7,Bachelors,BI Analyst,Bangalore,5,Enterprise,41.57
16,Bachelors,Data Scientist,Delhi,1,Startup,48.59
11,PhD,ML Engineer,Mumbai,1,Mid,49.12
18,Bachelors,Data Analyst,Pune,3,Mid,61.67
9,Bachelors,Data Analyst,Bangalore,1,Enterprise,32.37
8,Bachelors,BI Analyst,Mumbai,2,Startup,30.17
4,Masters,ML Engineer,Delhi,4,Mid,41.05
5,Bachelors,Data Scientist,Pune,1,Startup,26.07
19,Masters,BI Analyst,Bangalore,2,Startup,57.82
1,Bachelors,ML Engineer,Bangalore,5,Enterprise,30.93
12,PhD,Data Analyst,Bangalore,4,Enterprise,56.63
5,Bachelors,BI Analyst,Pune,5,Startup,33.8
4,Masters,Data Analyst,Mumbai,2,Startup,19.15
0,Bachelors,Data Analyst,Bangalore,5,Enterprise,29.02
20,Bachelors,BI Analyst,Delhi,5,Startup,77.55
20,Masters,BI Analyst,Bangalore,5,Enterprise,72.96
5,Bachelors,BI Analyst,Mumbai,1,Startup,15.2
5,PhD,BI Analyst,Pune,1,Enterprise,23.54
15,PhD,BI Analyst,Bangalore,1,Startup,53.26
3,PhD,Data Analyst,Bangalore,4,Enterprise,32.97
10,Bachelors,Data Scientist,Delhi,2,Startup,39.28
8,Masters,Data Scientist,Delhi,1,Mid,33.67
2,Bachelors,BI Analyst,Bangalore,5,Mid,30.82
18,PhD,Data Analyst,Bangalore,5,Startup,79.18
7,Masters,Data Scientist,Delhi,5,Mid,46.14
4,Masters,Data Scientist,Mumbai,5,Startup,40.79
3,Bachelors,Data Scientist,Hyderabad,3,Startup,27.4
5,Masters,Data Analyst,Hyderabad,4,Mid,35.85
1,Bachelors,BI Analyst,Bangalore,2,Startup,10.74
19,Masters,BI Analyst,Delhi,2,Enterprise,56.18
10,Bachelors,BI Analyst,Pune,1,Startup,27.02
3,Masters,ML Engineer,Pune,3,Startup,34.88
14,Masters,ML Engineer,Hyderabad,2,Mid,52.14
5,Masters,ML Engineer,Mumbai,4,Enterprise,43.41
16,Bachelors,Data Analyst,Hyderabad,5,Startup,64.16
5,Masters,Data Scientist,Bangalore,1,Startup,22.58
18,Bachelors,Data Scientist,Mumbai,4,Startup,64.35
1,Bachelors,Data Analyst,Pune,2,Startup,14.8
14,Bachelors,Data Analyst,Delhi,3,Startup,50.33
10,Bachelors,BI Analyst,Delhi,1,Startup,32.98
7,Bachelors,BI Analyst,Bangalore,2,Enterprise,27.43
18,Masters,ML Engineer,Hyderabad,1,Enterprise,57.16
12,Bachelors,ML Engineer,Bangalore,2,Startup,47.13
11,Bachelors,Data Analyst,Delhi,5,Startup,56.16
4,PhD,ML Engineer,Pune,3,Mid,32.47
5,Bachelors,Data Scientist,Delhi,5,Enterprise,38.1
3,Masters,Data Analyst,Mumbai,2,Enterprise,23.97
18,Masters,Data Analyst,Delhi,4,Startup,67.85
19,PhD,Data Scientist,Delhi,5,Enterprise,81.92
0,Masters,BI Analyst,Mumbai,4,Enterprise,22.71
19,Masters,BI Analyst,Hyderabad,2,Mid,55.76
16,Masters,Data Scientist,Delhi,3,Mid,65.91
11,Bachelors,Data Scientist,Bangalore,4,Enterprise,53.65
14,Masters,ML Engineer,Delhi,2,Enterprise,54.53
0,Bachelors,Data Analyst,Bangalore,4,Enterprise,18.48
13,PhD,ML Engineer,Mumbai,5,Startup,67.23
5,Bachelors,Data Scientist,Delhi,2,Mid,27.69
4,Masters,ML Engineer,Mumbai,5,Startup,43.35
10,Bachelors,Data Scientist,Mumbai,1,Mid,34.46
3,Masters,ML Engineer,Hyderabad,2,Mid,33.03
12,Bachelors,ML Engineer,Delhi,4,Mid,58.57
10,PhD,BI Analyst,Bangalore,1,Enterprise,33.99
2,Masters,Data Scientist,Bangalore,5,Mid,36.53
0,Bachelors,ML Engineer,Delhi,5,Startup,29.94
5,Masters,Data Analyst,Hyderabad,4,Mid,36.89
17,Masters,ML Engineer,Hyderabad,1,Startup,57.11
9,Masters,ML Engineer,Hyderabad,3,Mid,56
4,Bachelors,Data Analyst,Bangalore,4,Mid,31.89
9,Bachelors,Data Scientist,Mumbai,5,Enterprise,49.7
11,Bachelors,BI Analyst,Hyderabad,2,Startup,43.93
1,Bachelors,BI Analyst,Bangalore,1,Mid,10.52
12,PhD,BI Analyst,Bangalore,3,Mid,46.74
7,Bachelors,Data Analyst,Mumbai,2,Startup,28.43
1,Masters,ML Engineer,Delhi,1,Mid,20.74
19,Bachelors,Data Scientist,Delhi,4,Enterprise,71.05
0,Masters,ML Engineer,Hyderabad,4,Startup,33.02
4,Masters,BI Analyst,Hyderabad,1,Enterprise,20.56
8,PhD,ML Engineer,Mumbai,3,Startup,47.95
16,Bachelors,Data Analyst,Hyderabad,1,Startup,41.69
8,Bachelors,Data Analyst,Mumbai,2,Startup,35.79
10,Bachelors,Data Scientist,Bangalore,2,Mid,38.08
14,Bachelors,Data Scientist,Hyderabad,4,Startup,54.66
5,Bachelors,BI Analyst,Bangalore,1,Startup,27.38
2,Bachelors,Data Scientist,Pune,4,Startup,33.84
16,Bachelors,ML Engineer,Mumbai,3,Enterprise,59.56
4,Masters,Data Analyst,Pune,2,Startup,18.96
11,Bachelors,Data Analyst,Hyderabad,5,Mid,49.74
17,Bachelors,Data Analyst,Bangalore,5,Startup,71.04
13,Bachelors,Data Scientist,Hyderabad,1,Startup,42.23
20,Masters,Data Analyst,Pune,1,Enterprise,54.45
10,PhD,Data Analyst,Hyderabad,5,Mid,57.85
8,Masters,Data Analyst,Delhi,1,Mid,29.07
1,Masters,BI Analyst,Pune,2,Mid,15.45
11,Bachelors,BI Analyst,Hyderabad,3,Startup,41.18
2,Masters,Data Scientist,Bangalore,3,Startup,31.22
2,Bachelors,Data Analyst,Hyderabad,4,Mid,27.44
0,Bachelors,Data Scientist,Bangalore,2,Mid,10.54
7,Masters,Data Analyst,Delhi,1,Enterprise,28.4
7,PhD,Data Analyst,Hyderabad,1,Mid,30.62
10,Bachelors,Data Analyst,Delhi,4,Startup,43.74
8,Masters,Data Scientist,Pune,4,Startup,45.1
4,Masters,Data Scientist,Bangalore,1,Startup,20.5
13,Bachelors,Data Analyst,Pune,1,Enterprise,36.71
2,Bachelors,ML Engineer,Bangalore,2,Mid,23.67
20,Bachelors,Data Scientist,Delhi,4,Startup,71.17
4,Bachelors,BI Analyst,Mumbai,2,Enterprise,23.24
4,Bachelors,Data Scientist,Hyderabad,1,Enterprise,17.75
18,Bachelors,Data Analyst,Delhi,5,Startup,70.82
